name,city,brewery_type,url,address,postal_code,state_province,phone,website_url,social_media,country
101 Brewhouse + Distillery,Gibsons,"['Brewpub', 'Cider', 'Growler Fills', 'Live Music', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/101-brewhouse-distillery/,1009 Gibsons Way,V0N 1V7,BC,7784622011,https://the101.ca/,"['https://twitter.com/The101Gibsons', 'https://www.facebook.com/pg/The101Gibsons', 'https://www.instagram.com/the101gibsons/', 'https://untappd.com/w/101-brewhouse-distillery/357883']",Canada
3 Dogs Brewing,White Rock,"['Board Games', 'Growler Fills', 'Live Music', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/3-dogs-brewing/,107 - 15181 Thrift Avenue,V4B 0C1,BC,6043851364,http://www.3dogsbrewing.com,"['https://twitter.com/3Dogs_Brewing', 'https://www.facebook.com/3dogsbrewingofficial/', 'https://www.instagram.com/3dogsbrewing/', 'https://untappd.com/3_Dogs_Brewing']",Canada
33 Acres Brewing Company,Vancouver,"['Food Truck(s)', 'Growler Fills', 'Merchandise', 'Patio']",https://bcaletrail.ca/breweries/33-acres-brewing-co/,15 W 8th Ave,V5Y 1M8,BC,6046204589,https://33acresbrewing.com/,"['https://www.facebook.com/33acresbrewing/', 'https://www.instagram.com/33acresbrewing/', 'https://untappd.com/w/33-acres-brewing-co/71017']",Canada
33 Brewing Experiment,Vancouver,"['Cider', 'Food Truck(s)', 'Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/33-brewing-experiment/,25 W 8th Ave,V5Y 1M8,BC,6046204589,https://33brewingexp.com/,"['https://www.facebook.com/33brewingexp/', 'https://www.instagram.com/33brewingexp/', 'https://untappd.com/w/33-brewing-experiment/405524']",Canada
4 Mile Brewing,Victoria,"['Brewpub', 'Growler Fills', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/4-mile-brewing-co/,199 Island Hwy,V9B 1G2,BC,2504792514,http://4milebrewingco.com,"['https://www.facebook.com/4milebrewingco/', 'https://untappd.com/4MileBrewing']",Canada
A-FRAME Brewing,Squamish,"['Cider', 'Cocktails', 'Craft Sodas', 'Food Truck(s)', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/a-frame-brewing-co/,1 - 38927 Queens Way,N/A,BC,6048920777,http://aframebrewing.com,"['https://twitter.com/aframebrewing', 'https://www.facebook.com/aframebrewing', 'https://www.instagram.com/aframebrewing', 'https://untappd.com/AFrameBrewingCompany']",Canada
Abandoned Rail Brewing Co,Penticton,"['Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Guest Taps', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Spirits', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/abandoned-rail-brewing/,1220 Davenport Ave,V2A 8V1,BC,7784767704,https://www.arbrewco.com/,"['https://www.facebook.com/profile.php?id=61557457193019', 'https://www.instagram.com/abandonedrailbrewco/', 'https://untappd.com/AbandonedRailBrewing']",Canada
Ace Brewing,Courtenay,"['Growler Fills', 'Live Music', 'Snacks']",https://bcaletrail.ca/breweries/ace-brewing/,150 Mansfield Drive,V9N 6C5,BC,2503381182,https://acebrewing.ca/,"['https://twitter.com/AceBrewery', 'https://www.facebook.com/pg/acebrewingcompany', 'https://www.instagram.com/acebrewingcompany/', 'https://untappd.com/AceBrewingCompany']",Canada
Alberni Brewing Co.,Port Alberni,"['Brewpub', 'Cider', 'Growler Fills', 'Merchandise', 'Patio', 'Wine']",https://bcaletrail.ca/breweries/alberni-brewing-co/,4630 Adelaide Street,V9Y 6N4,BC,7787448010,https://albernibrewingcompany.ca/,"['https://www.facebook.com/AlberniBrewingCompany', 'https://www.instagram.com/albernibrewing/', 'https://untappd.com/AlberniBrewing']",Canada
Angry Hen Brewing,Kaslo,"['Growler Fills', 'Merchandise', 'Patio', 'Snacks']",https://bcaletrail.ca/breweries/angry-hen-brewing/,343 Front Street,V0G 1M0,BC,2503537446,http://angryhenbrewing.com,"['https://www.facebook.com/angryhenbrewing/', 'https://www.instagram.com/angryhenbrewing/', 'https://untappd.com/AngryHenBrewing']",Canada
Another Beer Co,New Westminster,['Snacks'],https://bcaletrail.ca/breweries/another-beer-co/,#11 - 30 Capilano Way,V3L 5M3,BC,7782329112,http://www.anotherbeerco.com/store,"['https://twitter.com/anotherbeerco', 'https://www.facebook.com/anotherbeerco/', 'https://www.instagram.com/anotherbeerco/', 'https://untappd.com/w/another-beer-company/396668']",Canada
Arrowhead Brewing Company,Invermere,"['Board Games', 'Cider', 'Dog Friendly Patio', 'Food Truck(s)', 'Growler Fills', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/arrowhead-brewing-company/,481 Arrow Road,V0A 1K2,BC,7785262739,http://arrowheadbrewingcompany.ca,"['https://www.facebook.com/arrowheadbrew', 'https://www.instagram.com/arrowheadbrew/']",Canada
Backcountry Brewing,Squamish,"['Brewpub', 'Cider', 'Growler Fills', 'Live Music', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/backcountry-brewing/,405-1201 Commercial Place,N/A,BC,6045672739,http://www.backcountrybrewing.com,"['https://twitter.com/Backcountry604', 'https://www.facebook.com/backcountrybrewing/', 'https://www.instagram.com/backcountrybrewing/', 'https://untappd.com/w/backcountry-brewing/332875']",Canada
Backroads Brewing Company,Nelson,"['Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/backroads-brewing-company/,460 Baker St,V1L 4H7,BC,7784633361,http://backroadsbrewing.com,"['https://twitter.com/backroadsbrews', 'https://www.facebook.com/backroadsbrews/', 'https://www.instagram.com/backroadsbrewing/', 'https://untappd.com/BackroadsBrewingCo']",Canada
Backroads Brewing – Osoyoos,Osoyoos,"['Bike Racks', 'Cider', 'Cocktails', 'Craft Sodas', 'Non Alc Beer Available', 'Patio', 'Videogames', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/backroads-brewing-co-osoyoss/,15 Park Place,V0H 1V0,BC,N/A,https://backroadsbrewing.com/,"['https://twitter.com/backroadsbrews', 'https://www.facebook.com/backroadsbrews', 'https://www.instagram.com/backroadsbrewing/', 'https://untappd.com/BackroadsBrewingCo']",Canada
Bad Dog Brewing,Sooke,"['Growler Fills', 'Merchandise', 'Snacks', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/bad-dog-brewing/,7861 Tugwell Rd,V9Z 0J7,BC,2506423621,http://www.baddogbrewing.ca,"['https://www.facebook.com/sookebaddogbrewing/', 'https://www.instagram.com/baddogbrewingco/']",Canada
Barkerville Brewing,Quesnel,"['Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/barkerville-brewing-co/,185 Davie St,V2J 2S8,BC,7784142739,https://barkervillebeer.com,"['https://twitter.com/BarkervilleBeer', 'https://www.facebook.com/BarkervilleBeer/', 'https://www.instagram.com/barkervillebeer/', 'https://untappd.com/BarkervilleBrewingCo']",Canada
Barley Mill Brew Pub,Penticton,"['Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Spirits', 'Wine']",https://bcaletrail.ca/breweries/barley-mill-brew-pub-bistro/,2460 Skaha Lake Rd,V2A 6E9,BC,2504938000,http://barleymillpub.com,"['https://twitter.com/barleymillbrew', 'https://www.facebook.com/Barley.Mill.Pub.Penticton/', 'https://www.instagram.com/barleymillpubpenticton/', 'https://untappd.com/w/barley-mill-brew-pub-british-columbia/34072']",Canada
Barley Station Brew Pub,Salmon Arm,"['Brewpub', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise']",https://bcaletrail.ca/breweries/barley-station-brew-pub/,20 Shuswap St S,V1E 1G1,BC,2508320999,http://barleystation.com,"['https://www.facebook.com/BarleyStationBrewPub/', 'https://www.instagram.com/barleystation/', 'https://untappd.com/w/barley-station-brew-pub-shuswap-lake-brewing-company/3035']",Canada
Barn Owl Brewing,Kelowna,"['Cider', 'Growler Fills', 'Wine']",https://bcaletrail.ca/breweries/barn-owl-brewing/,#102 - 4629 Lakeshore Rd,V1W 1X3,BC,7787609349,https://www.barnowlbrewing.ca/,"['https://www.facebook.com/pages/category/Brewery/Barn-Owl-Brewing-Company-1198749453615387/', 'https://www.instagram.com/barnowlbrew/', 'https://untappd.com/Barn_Owl_Brewing']",Canada
Barnside Brewing,Delta,"['Brewpub', 'Cider', 'Craft Sodas', 'GF Food Options', 'Growler Fills', 'Patio', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/barnside-brewing-co/,6655 60th Ave,V4K4E2,BC,7784342264,http://www.barnsidebrewing.ca,"['https://www.facebook.com/barnsidebrewing', 'http://www.instagram.com/barnsidebrewing', 'https://untappd.com/BarnsideBrewingCo']",Canada
Batch 44 Brewery & Kitchen,Sechelt,"['Brewpub', 'GF Food Options', 'Growler Fills', 'Wine']",https://bcaletrail.ca/breweries/batch-44-brewery-kitchen/,5559 Wharf Ave,V0N 3A0,BC,6047403805,https://www.batch44brewery.com/,"['https://www.facebook.com/pages/Batch-44-Brewery/102447004669676', 'https://www.instagram.com/batch44brewery/', 'https://untappd.com/w/batch-44-brewery/458038']",Canada
Bayview Brewing Company,Ladysmith,"['Bike Racks', 'Brewpub', 'Cider', 'Craft Sodas', 'Dog Friendly Patio', 'GF Food Options', 'Gluten-Free Beer', 'Growler Fills', 'Guest Taps', 'Merchandise', 'Non Alc Beer Available', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bayview-brewing-co/,204 Dogwood Drive,V9G 1S8,BC,2509120166,N/A,"['https://www.facebook.com/bayviewbrewingcompany/', 'https://www.instagram.com/bayviewbrewing/', 'http://www.untappd.com/bayviewbrewing']",Canada
Beach Fire Brewing,Campbell River,"['Brewpub', 'Cider', 'Craft Sodas', 'Growler Fills', 'Live Music', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/beach-fire-brewing/,594 11 Ave,V9W 4G4,BC,2509143473,http://www.beachfirebrewing.ca/,"['https://twitter.com/beachfirebrew', 'https://www.facebook.com/beachfirebrewing/', 'https://www.instagram.com/beachfirebrewing/', 'https://untappd.com/BeachFireBrewingCo']",Canada
Beacon Brewing,Sidney,"['Cider', 'Cocktails', 'Craft Sodas', 'Growler Fills', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Snacks', 'Videogames', 'Wine']",https://bcaletrail.ca/breweries/beacon-brewing/,9829 Third Street,V8L 3A7,BC,N/A,http://www.beaconbrewing.ca/,"['https://www.facebook.com/BeaconBrewing.Sidney', 'https://www.instagram.com/beacon.brewing/']",Canada
Beard’s Brewing,Fort St. John,"['Food Truck(s)', 'Growler Fills', 'Merchandise']",https://bcaletrail.ca/breweries/beards-brewing/,10408 Alaska Rd North,N/A,BC,2502624104,https://www.beardsbrewing.ca/,"['https://twitter.com/beards_brewing', 'https://www.facebook.com/beardsbrewing/', 'https://www.instagram.com/beards.brewing/', 'https://untappd.com/w/beard-s-brewing-company/370489']",Canada
The Beer Farmers,Pemberton,"['Food Truck(s)', 'Growler Fills', 'Merchandise']",https://bcaletrail.ca/breweries/the-beer-farmers/,8324 Meadows Rd,V0N 2L2,BC,7788794033,https://www.thebeerfarmers.com/,"['https://www.facebook.com/thebeerfarmers/', 'https://www.instagram.com/thebeerfarmers/', 'https://untappd.com/w/the-beer-farmers/397530']",Canada
Beere Brewing,North Vancouver,"['Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/beere-brewing/,312 Esplanade E,N/A,BC,6049832163,https://www.beerebrewing.com/beerestore/,"['https://twitter.com/BeereBrewingCo', 'https://www.facebook.com/beerebrewing/', 'https://www.instagram.com/beerebrewingco/']",Canada
Beva Brewing & Blending,North Vancouver,"['Bike Racks', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'Guest Taps', 'Non Alc Beer Available', 'Patio', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/beva-brewing-blending/,1405 Pemberton Ave,V7P2R8,BC,N/A,https://www.bevabrewing.ca/,"['https://www.facebook.com/profile.php?id=100093881980814', 'https://www.instagram.com/bevabrewing/', 'https://untappd.com/BevaBrewingBlending']",Canada
Black Kettle Brewing,North Vancouver,"['Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/black-kettle-brewing/,720 Copping St #106,V7M 3G3,BC,6049879989,http://blackkettlebrewing.com,"['https://twitter.com/BlackKettleBeer', 'https://www.facebook.com/BlackKettleBrewing/', 'https://www.instagram.com/blackkettlebeer/', 'https://untappd.com/BlackKettleBrewingCompany']",Canada
BNA Brewing Co.,Kelowna,"['Bike Racks', 'Board Games', 'Brewpub', 'Cider', 'Cocktails', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Merchandise', 'Non Alc Beer Available', 'Patio', 'Spirits', 'Videogames', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bna-brewing-co/,1250 Ellis St,V1Y 1Z4,BC,2364200025,http://bnabrewing.com,"['https://twitter.com/BNABrewing', 'https://www.facebook.com/BNAbrewing/', 'https://www.instagram.com/bnabrewing/', 'https://untappd.com/BNABrewingCo']",Canada
Bomber Brewing,Vancouver,"['Food Truck(s)', 'Growler Fills', 'Merchandise', 'Snacks']",https://bcaletrail.ca/breweries/bomber-brewing/,1488 Adanac St,V5L 2C3,BC,6044287457,https://bomberbrewing.com,"['https://twitter.com/bomberbrewing', 'https://www.facebook.com/bomberbrewing/', 'https://www.instagram.com/bomberbrewing/', 'https://untappd.com/BomberBrewingVan']",Canada
Braggot Brewing,North Vancouver,[],https://bcaletrail.ca/breweries/braggot-brewing/,102 - 370 Esplanade East,V7L 1A4,BC,N/A,https://braggottery.com/,['https://www.instagram.com/braggotbrewing/'],Canada
Brassneck Brewery,Vancouver,"['Food Truck(s)', 'Growler Fills', 'Snacks']",https://bcaletrail.ca/breweries/brassneck-brewery/,2148 Main St,V5T 3C5,BC,6042597686,http://brassneck.ca,"['https://www.facebook.com/pages/Brassneck-Brewery/661469417210968', 'https://www.instagram.com/brassneckbrew/', 'https://untappd.com/w/brassneck-brewery/83539']",Canada
BREWHALL,Vancouver,"['Brewpub', 'Cider', 'GF Food Options', 'Gluten-Free Beer', 'Merchandise', 'Videogames', 'Wine']",https://bcaletrail.ca/breweries/brewhall-beer-co/,97 East 2nd Ave,V5T 1B3,BC,6047098623,http://brewhall.com/,"['https://www.facebook.com/Brewhall/', 'https://www.instagram.com/brewhall/', 'https://untappd.com/BREWHALLBeerCo']",Canada
The BrewHouse (High Mountain Brewing),Whistler,"['Brewpub', 'Growler Fills']",https://bcaletrail.ca/breweries/brewhouse-at-whistler/,4355 Blackcomb Way,V0N 1B4,BC,6049052739,https://mjg.ca/brewhouse/,"['https://twitter.com/BREWHOUSEatWHIS', 'https://www.facebook.com/HMBC.Brewhouse', 'https://untappd.com/w/brewhouse-high-mountain-brewing-co/5023']",Canada
Brewing August,Vancouver,"['Food Truck(s)', 'Merchandise']",https://bcaletrail.ca/breweries/brewing-august/,1614 W. 3rd Ave,V6J 1K2,BC,N/A,https://www.brewingaugust.com/,"['https://www.facebook.com/photo.php?fbid=531170842344601&set=pb.100063550707101.-2207520000..&type=3', 'https://www.instagram.com/brewingaugust/']",Canada
Bridge Brewing Company,North Vancouver,"['Craft Sodas', 'Growler Fills', 'Merchandise', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/bridge-brewing-company/,1448 Charlotte Rd,V7J 1H2,BC,6047702739,https://www.bridgebrewingstore.com/,"['https://twitter.com/bridgebrewcrew', 'https://www.facebook.com/BridgeBrewCrew/', 'https://www.instagram.com/bridgebrewcrew/', 'https://untappd.com/BridgeBrewingCompany']",Canada
Bright Eye Brewing,Kamloops,"['Brewpub', 'Growler Fills', 'Merchandise']",https://bcaletrail.ca/breweries/bright-eye-brewing/,292 Tranquille Rd,V2B 3G3,BC,2503121702,https://www.brighteyebrewing.com,"['https://www.facebook.com/pg/brighteyebrewing', 'https://www.instagram.com/brighteyebrewing', 'https://untappd.com/BrightEyeBrewing']",Canada
Brookswood Brewing Co,Langley,[],https://bcaletrail.ca/breweries/brookswood-brewing-co/,#102 - 4061 200 Street,V3A 1K8,BC,N/A,https://www.brookswoodbrewing.com/,"['https://twitter.com/Brookswoodbrew', 'https://www.facebook.com/brookswoodbrewing', 'https://www.instagram.com/brookswoodbrewingco/', 'https://untappd.com/Brookswood_Brewing_Co']",Canada
Buffalo Rouge Brewing,Kelowna,"['Bike Racks', 'Cider', 'Craft Sodas', 'Guest Taps', 'Patio', 'Snacks', 'Vegan Options', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/buffalo-rouge-brewing-company/,1111 Gordon Drive #105,V1Y 3E3,BC,7789400170,https://buffalorougebrewing.com/,"['https://www.facebook.com/profile.php?id=100087725526765', 'https://www.instagram.com/buffalo.rouge.brewing/']",Canada
Bulkley Valley Brewery,Smithers,"['Growler Fills', 'Live Music', 'Merchandise']",https://bcaletrail.ca/breweries/bulkley-valley-brewery/,3860 1st Ave,V0J 2N0,BC,2508470699,http://www.bulkleyvalleybrewery.com,"['http://fb.me/BulkleyValleyBrewery', 'https://www.instagram.com/bulkleyvalleybrewery/', 'https://untappd.com/BulkleyValleyBrewery']",Canada
Camp Beer Co.,Langley,"['Bike Racks', 'Board Games', 'Cider', 'Craft Sodas', 'Dog Friendly Patio', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/camp-beer-co/,110 - 19664 64 Avenue,V2Y 1H3,BC,6044274287,http://www.campbeer.ca,"['https://twitter.com/campbeerco', 'https://faceboook.com/campbeerco', 'https://www.instagram.com/campbeerco/', 'https://untappd.com/campbeerco']",Canada
Cannery Brewing,Penticton,"['Cider', 'GF Food Options', 'Growler Fills', 'Live Music', 'Merchandise', 'Wine']",https://bcaletrail.ca/breweries/cannery-brewing/,198 Ellis Street,V2A 4L5,BC,2504932723,http://cannerybrewing.com,"['https://twitter.com/cannerybrewing', 'https://www.facebook.com/CanneryBrewing/', 'https://www.instagram.com/cannerybrewing/', 'https://untappd.com/cannerybrewing']",Canada
Canuck Empire Brewing Co,Abbotsford,"['Cider', 'GF Food Options', 'Growler Fills', 'Snacks', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/canuck-empire-brewing-co/,Unit C - 33797 King Road,V2S 7P2,BC,6047463616,https://canuckempirebrewing.com/,"['https://twitter.com/canuckempire', 'https://www.facebook.com/CanuckEmpire/', 'https://www.instagram.com/canuckempire/', 'https://untappd.com/CanuckEmpireBrewing']",Canada
Cask and Cleaver Brewing,100 Mile House,"['Bike Racks', 'Brewpub', 'Cider', 'Craft Sodas', 'GF Food Options', 'Growler Fills', 'Guest Taps', 'Non Alc Beer Available', 'Patio', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/cask-and-cleaver-brewing/,175 Cariboo Hwy,V0K 2E0,BC,7784825180,https://www.caskandcleaver.com/,"['https://www.facebook.com/caskandcleaverbrewing/', 'https://www.instagram.com/caskandcleaver/', 'https://untappd.com/Cask_And_Cleaver']",Canada
Category 12 Brewing,Victoria,"['Growler Fills', 'Merchandise', 'Vegan-Friendly Beer']",https://bcaletrail.ca/breweries/category-12-brewing/,2200 Unit C Keating Cross Rd,V8M 2A6,BC,2506529668,https://www.category12beer.com/,"['https://twitter.com/c12beer', 'https://www.facebook.com/C12beer/', 'https://www.instagram.com/c12beer/', 'https://untappd.com/Category12']",Canada
Central City Brewers & Distillers,Surrey,"['Cocktails', 'Dog Friendly Patio', 'Food Truck(s)', 'Merchandise', 'Patio', 'Spirits', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/central-city-brewers-distillers/,11411 Bridgeview Dr,V3R 2N1,BC,6045882337,http://centralcitybrewing.com,"['https://twitter.com/centralcitybrew', 'https://www.facebook.com/CentralCityBrewing/', 'https://www.instagram.com/centralcitybrew/', 'https://untappd.com/RedRacerBrew']",Canada
Coast Mountain Brewing,Whistler,"['Bike Racks', 'Cider', 'Craft Sodas', 'GF Food Options', 'Gluten-Free Beer', 'Growler Fills', 'Guest Taps', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Outside food permitted', 'Patio', 'Snacks', 'Videogames', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/coast-mountain-brewing/,2 - 1212 Alpha Lake,V8E 0R5,BC,6049623230,https://www.coastmountainbrewing.com/,"['https://twitter.com/coastmtnbrewing', 'https://www.facebook.com/CoastMountainBrewing/', 'https://www.instagram.com/coastmountainbeer/', 'https://untappd.com/w/coast-mountain-brewing/294125']",Canada
Connector Brewing,West Kelowna,"['Board Games', 'Brewpub', 'Cider', 'Craft Sodas', 'GF Food Options', 'Gluten-Free Beer', 'Growler Fills', 'Guest Taps', 'Live Music', 'Merchandise', 'Non Alc Beer Available', 'Wheelchair Accessible', 'Wine']",https://bcaletrail.ca/breweries/connector-brewing/,101 - 3310 Carrington Rd,V4T 3C1,BC,N/A,https://connectorbrewing.com/,"['https://www.facebook.com/connectorbrewing', 'https://www.instagram.com/connectorbrewing/', 'https://untappd.com/ConnectorBrewing']",Canada
Container Brewing,Vancouver,"['Craft Sodas', 'Food Truck(s)', 'Live Music', 'Merchandise', 'Patio', 'Snacks', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/container-brewing/,1216 Franklin St,V6A 1K1,BC,7784040657,https://containerbrewing.ca/,"['https://twitter.com/containerbeer', 'https://www.facebook.com/containerbrewing', 'https://www.instagram.com/containerbrewing/', 'https://untappd.com/ContainerBrewing']",Canada
Copper Brewing,Kelowna,"['Cider', 'Cocktails', 'Growler Fills', 'Merchandise', 'Snacks', 'Videogames', 'Wine']",https://bcaletrail.ca/breweries/copper-brewing/,1851 Kirschner Rd #102,V1Y 4N7,BC,2507628850,https://copperbrewingco.com/,"['https://www.facebook.com/Copperbrewing/', 'https://www.instagram.com/copperbrewing/', 'https://untappd.com/w/copper-brewing-co/442327']",Canada
CowDog Brew Co,Vancouver,"['Bike Racks', 'Board Games', 'Cocktails', 'Craft Sodas', 'Growler Fills', 'Guest Taps', 'Merchandise', 'Patio', 'Snacks', 'Spirits', 'Wheelchair Accessible']",https://bcaletrail.ca/breweries/cowdog-brew-co/,1338 Franklin St,V5L 1N9,BC,N/A,https://cowdogbrewcompany.ca/,"['https://www.facebook.com/profile.php?id=61560883811004', 'https://www.instagram.com/cowdogbrewcompany/', 'https://untappd.com/Cowdog_Brew_Company_']",Canada
Craig Street Brewing,Duncan,"['Brewpub', 'Growler Fills']",https://bcaletrail.ca/breweries/craig-street-brew-pub/,25 Craig St,V9L 1V7,BC,2507372337,http://www.csbrewery.ca/craigstreetbrewpub,"['https://twitter.com/csbrewpub', 'https://www.facebook.com/craigstbrewpub', 'https://www.instagram.com/csbrewpub', 'https://untappd.com/w/craig-street-brewpub/5223']",Canada
